Price,Location,id,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden
1444000,ANKARA ,20613282,2022-08-04,BMW,5 Serisi,520i Luxury Line,2017,139000,Otomatik,Benzin,Sedan,1597,170,Arkadan İtiş,6.5,68,Belirtilmemiş,Takasa Uygun,Galeriden
235750,ISPARTA ,20681450,2022-08-03,BMW,3 Serisi,320i,2001,250000,Düz,LPG & Benzin,Sedan,1991,170,Arkadan İtiş,8.9,63,"1 değişen, 4 boyalı",Takasa Uygun,Galeriden
925000,VAN ,20241500,2022-08-02,BMW,5 Serisi,520i Premium,2016,208000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,6.7,70,Belirtilmemiş,Takasa Uygun Değil,Galeriden
910000,İSTANBUL ,20666759,2022-08-01,BMW,3 Serisi,320i ED Sport Plus,2016,57800,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,5.4,60,Tamamı orjinal,Takasa Uygun Değil,Sahibinden
975000,UŞAK ,20631808,2022-07-31,BMW,3 Serisi,320i ED 40th Year Edition,2015,161000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,5.3,60,Tamamı orjinal,Takasa Uygun Değil,Sahibinden
875900,BURSA ,20653550,2022-07-30,BMW,3 Serisi,320i ED Sport Line,2015,111000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,5.3,60,Tamamı orjinal,Takasa Uygun,Galeriden
1690000,ANTALYA ,20652584,2022-07-30,BMW,5 Serisi,520i M Sport,2018,31000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,6.7,70,Belirtilmemiş,Takasa Uygun Değil,Sahibinden
745000,MANİSA ,20652748,2022-07-30,BMW,3 Serisi,320i ED Standart,2016,110000,Yarı Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,5.4,60,2 boyalı,Takasa Uygun Değil,Sahibinden
2370000,İSTANBUL ,20652033,2022-07-30,BMW,7 Serisi,730i M Sport,2015,198936,Otomatik,Benzin,Sedan,1998,258,Arkadan İtiş,5.7,78,4 boyalı,Takasa Uygun,Galeriden
985000,İSTANBUL ,20648437,2022-07-29,BMW,5 Serisi,520d Comfort,2013,172000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,5.2,70,Belirtilmemiş,Takasa Uygun Değil,Galeriden
725000,İSTANBUL ,20646861,2022-07-29,BMW,3 Serisi,320i ED Sport Line,2014,227000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,5.3,60,Belirtilmemiş,Takasa Uygun,Galeriden
842500,AYDIN ,20641867,2022-07-29,BMW,3 Serisi,320i ED M Plus,2014,126000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,5.3,60,1 boyalı,Takasa Uygun,Sahibinden
660000,VAN ,18991103,2022-07-28,BMW,1 Serisi,116d M Plus,2016,154000,Otomatik,Dizel,Hatchback/5,1496,116,Arkadan İtiş,4.1,52,Tamamı orjinal,Takasa Uygun Değil,Galeriden
