Price,Location,id,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden
492500,BURSA ,20684253,2022-08-03,Ford,Focus,1.6 Ti-VCT Trend X,2018,45000,Düz,LPG & Benzin,Sedan,1596,125,Önden Çekiş,6.0,55,Belirtilmemiş,Takasa Uygun,Galeriden
390000,ŞANLIURFA ,20353325,2022-08-03,Ford,Focus,1.6 TDCi Trend X,2014,166500,Düz,Dizel,Sedan,1560,95,Önden Çekiş,4.2,53,Belirtilmemiş,Takasa Uygun Değil,Galeriden
284950,ANTALYA ,20683012,2022-08-03,Ford,Fiesta,1.4 TDCi Titanium X,2012,185000,Düz,Dizel,Hatchback/5,1398,70,Önden Çekiş,4.2,45,Tamamı orjinal,Takasa Uygun Değil,Galeriden
460000,OSMANİYE ,20682401,2022-08-03,Ford,Focus,1.6 Ti-VCT Trend X,2015,56000,Düz,LPG & Benzin,Sedan,1596,125,Önden Çekiş,6.0,55,Belirtilmemiş,Takasa Uygun,Galeriden
165000,AYDIN ,20259362,2022-08-03,Ford,Fiesta,1.4 TDCi Comfort,2004,192000,Düz,Dizel,Hatchback/5,1399,68,Önden Çekiş,4.3,45,Belirtilmemiş,Takasa Uygun Değil,Galeriden
325000,GAZİANTEP ,20681560,2022-08-03,Ford,Focus,1.6 TDCi Style,2011,163000,Düz,Dizel,Sedan,1560,115,Önden Çekiş,4.2,53,"1 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden
264999,HATAY ,20678125,2022-08-02,Ford,Focus,1.6 TDCi Trend,2012,236000,Düz,Dizel,Sedan,1560,95,Önden Çekiş,4.2,53,Belirtilmemiş,Takasa Uygun,Galeriden
385000,İSTANBUL ,20136018,2022-08-02,Ford,Focus,1.5 TDCi Trend X,2016,136000,Yarı Otomatik,Dizel,Sedan,1499,120,Önden Çekiş,4.2,55,"6 değişen, 1 boyalı",Takasa Uygun,Galeriden
81000,DENİZLİ ,20646671,2022-08-02,Ford,Mondeo,2.0 Ghia,1998,93000,Düz,LPG & Benzin,Sedan,1988,136,Önden Çekiş,0.0,62,Belirtilmemiş,Takasa Uygun,Galeriden
415000,NİĞDE ,20627645,2022-08-01,Ford,Focus,1.6 TDCi Trend X,2016,158000,Düz,Dizel,Sedan,1560,95,Önden Çekiş,4.5,53,Belirtilmemiş,Takasa Uygun Değil,Galeriden
415000,NİĞDE ,20622065,2022-08-01,Ford,Focus,1.6 TDCi Trend X,2016,158000,Düz,Dizel,Sedan,1560,95,Önden Çekiş,4.5,53,Tamamı orjinal,Takasa Uygun Değil,Galeriden
188000,DENİZLİ ,20667067,2022-08-01,Ford,Focus,1.6 TDCi Trend,2006,280000,Düz,Dizel,Sedan,1560,110,Önden Çekiş,4.8,55,"1 değişen, 10 boyalı",Takasa Uygun,Galeriden
180000,MERSİN ,20665133,2022-08-01,Ford,Fusion,1.4 TDCi Comfort,2005,172000,Düz,Dizel,Hatchback/5,1399,68,Önden Çekiş,4.4,45,"2 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden
192500,ANKARA ,20665369,2022-08-01,Ford,Fusion,1.4 TDCi Comfort,2006,178000,Düz,Dizel,Hatchback/5,1399,68,Önden Çekiş,4.4,45,Belirtilmemiş,Takasa Uygun Değil,Sahibinden
460005,İSTANBUL ,20434990,2022-07-30,Ford,Mustang,4.6 GT,1996,115000,Otomatik,LPG & Benzin,Coupe,4601,218,Arkadan İtiş,0.0,61,Tamamı orjinal,Takasa Uygun,Galeriden
245000,BOLU ,20464359,2022-07-30,Ford,Focus,1.6 TDCi Trend,2009,228000,Düz,Dizel,Sedan,1560,110,Önden Çekiş,4.5,55,Belirtilmemiş,Takasa Uygun,Galeriden
