Price,Location,id,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden
1030000,GAZİANTEP ,21285959,2022-11-02,BMW,3 Serisi,320i ED 40th Year Edition,2015,120000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,5.3,60,Tamamı orjinal,Takasa Uygun,Sahibinden
1420000,ANKARA ,21285260,2022-11-02,BMW,5 Serisi,520i Executive,2016,55000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,6.7,70,Belirtilmemiş,Takasa Uygun,Galeriden
949950,İSTANBUL ,21285243,2022-11-02,BMW,5 Serisi,520i Comfort,2014,95000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,6.7,70,Belirtilmemiş,Takasa Uygun,Galeriden
471900,MUĞLA ,20860728,2022-11-01,BMW,1 Serisi,116i Premium,2011,117500,Otomatik,Benzin,Hatchback/5,1596,116,Arkadan İtiş,7.5,53,Tamamı orjinal,Takasa Uygun,Galeriden
900000,MUĞLA ,21081995,2022-10-31,BMW,5 Serisi,520i Premium,2013,150000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,6.7,70,Belirtilmemiş,Takasa Uygun Değil,Galeriden
445000,SAKARYA ,19713783,2022-10-31,BMW,5 Serisi,520d Premium,2008,320000,Otomatik,Dizel,Sedan,1995,177,Arkadan İtiş,6.1,70,"1 değişen, 4 boyalı",Takasa Uygun,Galeriden
762000,BURSA ,21267188,2022-10-30,BMW,1 Serisi,116d Premium Line,2017,90000,Otomatik,Dizel,Hatchback/5,1496,116,Arkadan İtiş,3.9,52,Belirtilmemiş,Takasa Uygun,Galeriden
565000,BURSA ,21261160,2022-10-29,BMW,3 Serisi,320d Comfort,2012,290000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,5.3,60,Tamamı orjinal,Takasa Uygun,Galeriden
1115000,İSTANBUL ,21258491,2022-10-29,BMW,2 Serisi,218i Sport Line,2021,41000,Otomatik,Benzin,-,1499,136,Arkadan İtiş,5.3,52,Belirtilmemiş,Takasa Uygun Değil,Galeriden
420000,GAZİANTEP ,21256679,2022-10-28,BMW,3 Serisi,330Ci,2001,270000,Otomatik,LPG & Benzin,Coupe,2979,231,Arkadan İtiş,9.6,63,Tamamı orjinal,Takasa Uygun Değil,Galeriden
800000,KARAMAN ,21255968,2022-10-28,BMW,3 Serisi,320d xDrive Techno Plus,2013,197000,Otomatik,Dizel,Sedan,1995,184,4WD (Sürekli),4.7,57,Tamamı orjinal,Takasa Uygun,Galeriden
749000,İZMİR ,21254060,2022-10-28,BMW,3 Serisi,316i Comfort,2014,95737,Otomatik,Benzin,Sedan,1598,136,Arkadan İtiş,5.8,60,Tamamı orjinal,Takasa Uygun,Galeriden
750000,ŞANLIURFA ,21253584,2022-10-28,BMW,5 Serisi,520d Comfort,2012,249000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,5.2,70,Belirtilmemiş,Takasa Uygun Değil,Galeriden
1249000,İZMİR ,21248646,2022-10-27,BMW,2 Serisi,216d Gran Coupe First Edition M Sport,2020,9435,Otomatik,Dizel,Coupe,1496,116,Önden Çekiş,4.5,42,Tamamı orjinal,Takasa Uygun,Galeriden
1849000,İZMİR ,21248624,2022-10-27,BMW,3 Serisi,320i First Edition M Sport,2022,8816,Otomatik,Benzin,Sedan,1597,170,Arkadan İtiş,6.0,59,Tamamı orjinal,Takasa Uygun,Galeriden
1745000,İZMİR ,21248540,2022-10-27,BMW,3 Serisi,320i Executive M Sport,2022,6847,Otomatik,Benzin,Sedan,1597,170,Arkadan İtiş,6.0,59,Tamamı orjinal,Takasa Uygun,Galeriden
745000,ANTALYA ,21247873,2022-10-27,BMW,2 Serisi,218i M Sport,2015,135000,Otomatik,Benzin,Coupe,1499,136,Arkadan İtiş,5.1,52,2 boyalı,Takasa Uygun,Galeriden
1525000,İSTANBUL ,21241991,2022-10-26,BMW,5 Serisi,520i Luxury Line,2017,95000,Otomatik,Benzin,Sedan,1597,170,Arkadan İtiş,6.5,68,Tamamı orjinal,Takasa Uygun,Galeriden
737000,KONYA ,20976733,2022-10-24,BMW,5 Serisi,520d Premium,2011,250700,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,5.2,70,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden
475000,ANKARA ,21214958,2022-10-21,BMW,1 Serisi,116d ED EfficientDynamics,2012,159000,Düz,Dizel,Hatchback/5,1598,116,Arkadan İtiş,3.8,52,Belirtilmemiş,Takasa Uygun Değil,Sahibinden
629000,ANKARA ,21205658,2022-10-20,BMW,1 Serisi,116d Joy Plus,2015,112000,Otomatik,Dizel,Hatchback/5,1496,116,Arkadan İtiş,4.1,52,3 boyalı,Takasa Uygun,Galeriden
400000,İSTANBUL ,21190568,2022-10-17,BMW,3 Serisi,320d Premium,2008,205500,Otomatik,Dizel,Sedan,1995,177,Arkadan İtiş,4.8,60,"2 değişen, 3 boyalı",Takasa Uygun,Galeriden
969000,İSTANBUL ,20734259,2022-10-11,BMW,4 Serisi,428i xDrive Gran Coupe Gran Coupe,2014,165000,Otomatik,Benzin,Coupe,1997,245,4WD (Sürekli),6.7,60,Belirtilmemiş,Takasa Uygun Değil,Galeriden
589000,İZMİR ,21145708,2022-10-10,BMW,1 Serisi,116i Joy Edition,2014,118000,Otomatik,Benzin,Hatchback/5,1598,136,Arkadan İtiş,5.7,52,4 boyalı,Takasa Uygun,Galeriden
2235000,İZMİR ,21129556,2022-10-08,BMW,5 Serisi,520i M Sport,2021,12619,Otomatik,Benzin,Sedan,1597,170,Arkadan İtiş,7.1,68,Belirtilmemiş,Takasa Uygun,Galeriden
950000,ISPARTA ,21111640,2022-10-05,BMW,Z Serisi,Z3 1.9,1996,160000,Düz,Benzin,Roadster,1895,140,Arkadan İtiş,8.0,51,Belirtilmemiş,Takasa Uygun Değil,Galeriden
949900,İSTANBUL ,20604977,2022-09-28,BMW,4 Serisi,420d M Sport,2015,218000,Otomatik,Dizel,Coupe,1995,190,Arkadan İtiş,4.0,57,2 değişen,Takasa Uygun Değil,Galeriden
425000,KAYSERİ ,21026671,2022-09-22,BMW,1 Serisi,116i Comfort,2011,194000,Otomatik,LPG & Benzin,Hatchback/5,1598,136,Arkadan İtiş,5.6,52,Tamamı orjinal,Takasa Uygun Değil,Galeriden
1520000,HATAY ,21126562,2022-11-02,BMW,5 Serisi,525d xDrive Executive M Sport,2015,167000,Otomatik,Dizel,Sedan,1995,218,4WD (Sürekli),5.1,70,Belirtilmemiş,Takasa Uygun Değil,Galeriden
415000,MARDİN ,21166519,2022-11-02,BMW,1 Serisi,116d ED EfficientDynamics,2014,262000,Düz,Dizel,Hatchback/5,1598,116,Arkadan İtiş,3.8,52,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden
695000,İSTANBUL ,21204012,2022-10-31,BMW,1 Serisi,118i Joy Plus,2015,87000,Otomatik,Benzin,Hatchback/5,1499,136,Arkadan İtiş,5.2,52,Belirtilmemiş,Takasa Uygun Değil,Galeriden
880000,İSTANBUL ,19812701,2022-10-31,BMW,2 Serisi,218i Sport Line,2016,94000,Otomatik,Benzin,-,1499,136,Arkadan İtiş,5.3,52,Belirtilmemiş,Takasa Uygun,Galeriden
739000,İSTANBUL ,21267522,2022-10-30,BMW,5 Serisi,525d xDrive Exclusive,2012,265000,Otomatik,Dizel,Sedan,1995,218,4WD (Sürekli),5.1,70,8 boyalı,Takasa Uygun Değil,Galeriden
1187000,İSTANBUL ,21259148,2022-10-29,BMW,5 Serisi,520i Executive,2016,65951,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,6.7,70,Tamamı orjinal,Takasa Uygun Değil,Galeriden
1565000,İSTANBUL ,21259140,2022-10-29,BMW,3 Serisi,320i First Edition M Sport,2020,23000,Otomatik,Benzin,Sedan,1597,170,Arkadan İtiş,6.0,59,Tamamı orjinal,Takasa Uygun Değil,Galeriden
